l.nm,25-espolon,27-espolon,5-sm,22-arette,2-pueblo-viejo,3-san-matias,9-tres alegres,26-espolon,15-don-eduardo,24-espolon,7-sm,17-herradura1,11-quiote,10-centenario-plata,b37,26,28,16,17,mh1,mh2,mh3,blanco55,blanco54,28a,b38,n4,n5,n5a,n9,p6a,n7,n12,n8,n11a,n13,n10,n6,p13,p12,p5,p7,p8a,p9,p6,p8,p4
317,0.1296,0.1824,0.2107,0.0533,0.0836,0.2147,0.146,0.8822,0.2596,0.1131,0.0824,0.0673,0.0836,0.0813,0.032,0.1368,0.1261,0.0364,0.0512,0.4677,0.4287,0.0553,0.5557,0.014,0.1139,0.0156,0.0106,0.0242,0.0164,0.0168,0.0196,0.1575,0.2164,0.1743,0.1857,0.2008,0.0126,0.2085,0.0096,0.1219,0.2218,0.0288,0.0156,0.0127,0.0228,0.0194,0.1863
317.5,0.1237,0.1727,0.2004,0.0502,0.0811,0.2072,0.1438,0.8739,0.2437,0.1078,0.0788,0.064,0.0811,0.0771,0.0303,0.1318,0.118,0.0344,0.0486,0.453,0.4153,0.0521,0.5368,0.0132,0.105,0.0149,0.0097,0.0238,0.0157,0.016,0.019,0.1476,0.2042,0.1636,0.174,0.187,0.012,0.1941,0.0089,0.1131,0.2068,0.0274,0.0146,0.0115,0.0216,0.0183,0.1735
318,0.1188,0.1643,0.192,0.0482,0.0792,0.2009,0.1418,0.8668,0.2307,0.103,0.0758,0.0611,0.0792,0.0738,0.0292,0.1273,0.1114,0.0332,0.0463,0.4404,0.4038,0.0496,0.5208,0.0127,0.0976,0.0144,0.0091,0.023,0.015,0.0154,0.0183,0.1391,0.1942,0.1544,0.164,0.175,0.0115,0.1821,0.008,0.1058,0.1948,0.0264,0.0142,0.011,0.0205,0.0178,0.163
318.5,0.114,0.1561,0.1837,0.0455,0.077,0.195,0.1399,0.8591,0.2182,0.0983,0.0728,0.0584,0.077,0.0702,0.0278,0.123,0.1048,0.0314,0.0441,0.4279,0.3922,0.0467,0.5043,0.0118,0.0902,0.0138,0.0084,0.0221,0.0145,0.0145,0.0177,0.1308,0.1841,0.1454,0.1543,0.1635,0.0112,0.1697,0.0073,0.0992,0.1824,0.0252,0.0132,0.0101,0.0198,0.0169,0.153
319,0.1093,0.1481,0.1757,0.0434,0.0751,0.1891,0.1377,0.8508,0.2058,0.0939,0.0702,0.056,0.0751,0.0671,0.0267,0.1189,0.0985,0.03,0.042,0.4157,0.3809,0.0442,0.4886,0.0114,0.0833,0.0136,0.0077,0.0218,0.0142,0.0141,0.0171,0.1229,0.1742,0.1369,0.145,0.1527,0.0109,0.1583,0.007,0.0923,0.1709,0.0245,0.0128,0.0095,0.0188,0.0161,0.1433
319.5,0.1049,0.1402,0.1679,0.0409,0.0733,0.1831,0.1354,0.8426,0.194,0.0896,0.0677,0.0532,0.0733,0.0638,0.0251,0.1147,0.0924,0.0283,0.0399,0.4038,0.3699,0.0416,0.4737,0.0107,0.0762,0.0127,0.007,0.0214,0.0136,0.0135,0.0166,0.1152,0.165,0.1283,0.1357,0.1417,0.0102,0.1468,0.0065,0.0858,0.1597,0.0234,0.0123,0.0088,0.0179,0.0154,0.1335
320,0.1008,0.1337,0.1616,0.0389,0.0717,0.1783,0.1338,0.8351,0.1842,0.0859,0.0651,0.0511,0.0717,0.0612,0.0238,0.1114,0.087,0.0269,0.0382,0.3937,0.3604,0.0395,0.4604,0.0098,0.0705,0.0124,0.0063,0.0206,0.013,0.0128,0.016,0.1086,0.1567,0.1213,0.1278,0.1327,0.0098,0.1375,0.0058,0.0801,0.15,0.0226,0.0118,0.008,0.0173,0.0148,0.1256
320.5,0.097,0.1272,0.155,0.0372,0.0697,0.1733,0.1319,0.8279,0.174,0.0822,0.0629,0.0488,0.0697,0.0585,0.0231,0.1079,0.082,0.0258,0.0365,0.383,0.3506,0.0374,0.4472,0.0092,0.0649,0.0118,0.0055,0.02,0.0125,0.0123,0.0156,0.1017,0.149,0.1141,0.12,0.1233,0.0094,0.1278,0.0053,0.0746,0.1405,0.0219,0.011,0.0075,0.0166,0.0142,0.1174
321,0.0931,0.121,0.1489,0.0354,0.0678,0.1686,0.1304,0.8205,0.1651,0.0789,0.0608,0.0471,0.0678,0.056,0.022,0.1047,0.0774,0.0245,0.0349,0.3734,0.3418,0.0355,0.4351,0.0086,0.0596,0.0117,0.0054,0.0198,0.012,0.0118,0.0149,0.0959,0.1416,0.1076,0.113,0.1149,0.0092,0.1188,0.005,0.0694,0.1318,0.0211,0.0109,0.0068,0.0159,0.0135,0.1101
321.5,0.0899,0.1149,0.1431,0.0337,0.0667,0.1639,0.1286,0.813,0.1565,0.0757,0.0587,0.0451,0.0667,0.0534,0.021,0.1017,0.0726,0.0234,0.0331,0.3642,0.3332,0.0335,0.4231,0.0079,0.0546,0.011,0.0046,0.0193,0.0117,0.0116,0.0146,0.0898,0.1347,0.1012,0.1063,0.107,0.009,0.1107,0.0046,0.0645,0.1234,0.0203,0.0102,0.0063,0.0151,0.0128,0.1029
322,0.0866,0.1097,0.1379,0.0323,0.0652,0.16,0.127,0.8054,0.1486,0.0727,0.0566,0.0432,0.0652,0.0514,0.0204,0.0987,0.0687,0.0226,0.0318,0.3556,0.3253,0.0319,0.4121,0.0072,0.0501,0.0109,0.0041,0.0188,0.0113,0.0111,0.0142,0.0848,0.1283,0.0956,0.1003,0.0999,0.0086,0.1032,0.004,0.0602,0.1159,0.0196,0.0099,0.0059,0.0147,0.0125,0.0966
322.5,0.0837,0.1044,0.1333,0.0307,0.0637,0.1564,0.1255,0.7986,0.1418,0.0698,0.0552,0.0415,0.0637,0.049,0.0196,0.096,0.0648,0.0216,0.0305,0.3472,0.3177,0.0302,0.4023,0.0069,0.046,0.0104,0.0037,0.0185,0.0111,0.0106,0.0138,0.0799,0.1225,0.0905,0.0947,0.0933,0.0082,0.0966,0.0036,0.0565,0.1092,0.0191,0.0096,0.0055,0.014,0.0123,0.0908
323,0.0809,0.0996,0.1287,0.0293,0.0624,0.1525,0.1238,0.7911,0.1346,0.0673,0.0534,0.04,0.0624,0.0472,0.0189,0.0937,0.0613,0.0206,0.0291,0.3392,0.3102,0.0287,0.3923,0.0061,0.042,0.01,0.0036,0.018,0.0106,0.0102,0.0136,0.0754,0.1169,0.0854,0.0894,0.087,0.008,0.0899,0.0034,0.0524,0.1024,0.0187,0.0092,0.0051,0.0136,0.012,0.0854
323.5,0.0781,0.0953,0.1246,0.028,0.061,0.1488,0.1225,0.7841,0.1286,0.0647,0.0521,0.0384,0.061,0.0451,0.0181,0.0912,0.0583,0.0198,0.0281,0.3321,0.3033,0.0274,0.3832,0.0058,0.0383,0.0099,0.0031,0.0177,0.0104,0.01,0.0132,0.0714,0.1118,0.081,0.0844,0.0812,0.0077,0.0837,0.0028,0.049,0.0966,0.018,0.009,0.0046,0.0131,0.0113,0.0803
